Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,48.049999,48.950001,47.950001,48.400002,45.801014,541954
2019-11-04,48.549999,48.599998,47.900002,47.950001,45.375179,321314
2019-11-05,48.000000,48.500000,48.000000,48.299999,45.706383,231150
2019-11-06,48.250000,49.000000,48.250000,48.950001,46.321480,515717
2019-11-07,48.950001,48.950001,47.799999,48.099998,45.517120,358170
2019-11-08,48.299999,48.299999,48.000000,48.000000,45.422493,103523
2019-11-11,47.099998,47.700001,46.650002,46.650002,44.144985,502409
2019-11-12,46.250000,47.150002,46.250000,46.750000,44.239616,191333
2019-11-13,46.750000,46.849998,46.299999,46.849998,44.334244,193757
2019-11-14,46.299999,46.599998,46.200001,46.450001,43.955727,265247
2019-11-15,46.450001,46.799999,46.299999,46.299999,43.813778,189904
2019-11-18,46.150002,46.349998,46.099998,46.349998,43.861092,101085
2019-11-19,46.349998,46.950001,46.349998,46.650002,44.144985,145147
2019-11-20,46.599998,46.650002,46.250000,46.299999,43.813778,105028
2019-11-21,46.049999,46.099998,45.900002,46.000000,43.529888,194329
2019-11-22,46.000000,46.299999,46.000000,46.200001,43.719151,105733
2019-11-25,46.200001,46.299999,46.099998,46.150002,43.671837,152571
2019-11-26,46.200001,46.799999,46.200001,46.799999,44.286930,166600
2019-11-27,46.799999,47.150002,46.799999,47.150002,44.618137,204893
2019-11-28,47.150002,47.750000,47.049999,47.750000,45.185917,370335
2019-11-29,47.599998,47.799999,47.150002,47.200001,44.665451,135600
2019-12-02,47.200001,47.250000,47.049999,47.150002,44.618137,139378
2019-12-03,47.150002,47.200001,46.549999,46.650002,44.144985,109550
2019-12-04,46.599998,46.799999,46.500000,46.650002,44.144985,60532
2019-12-05,46.650002,46.900002,46.650002,46.900002,44.381561,104259
2019-12-06,46.799999,46.950001,46.500000,46.500000,44.003040,191437
2019-12-09,46.500000,46.599998,46.349998,46.349998,43.861092,140187
2019-12-10,46.599998,47.250000,46.599998,47.150002,44.618137,236040
2019-12-11,47.349998,47.450001,47.099998,47.150002,44.618137,167673
2019-12-12,47.200001,47.299999,47.099998,47.200001,44.665451,122156
2019-12-13,47.200001,47.250000,47.000000,47.099998,44.570820,170799
2019-12-16,47.099998,47.299999,46.799999,47.200001,44.665451,1395
2019-12-17,47.200001,47.349998,47.200001,47.299999,44.760082,234603
2019-12-18,47.299999,48.000000,47.250000,47.900002,45.327866,367049
2019-12-19,47.900002,48.000000,47.700001,47.900002,45.327866,210050
2019-12-20,48.000000,48.049999,47.700001,47.900002,45.327866,180031
2019-12-23,48.099998,48.200001,47.900002,48.150002,45.564438,262114
2019-12-24,48.150002,48.150002,47.750000,47.750000,45.185917,122204
2019-12-25,47.750000,47.750000,47.299999,47.500000,44.949341,137309
2019-12-26,47.400002,47.400002,46.950001,46.950001,44.428875,355626
2019-12-27,46.950001,47.099998,46.700001,46.849998,44.334244,364543
2019-12-30,46.849998,47.200001,46.849998,47.000000,44.476192,301593
2019-12-31,47.000000,47.349998,47.000000,47.150002,44.618137,152214
2020-01-02,47.200001,47.549999,47.200001,47.500000,44.949341,162444
2020-01-03,47.700001,47.700001,47.299999,47.500000,44.949341,175562
2020-01-06,47.400002,47.400002,47.000000,47.150002,44.618137,116172
2020-01-07,47.150002,47.150002,46.599998,46.950001,44.428875,336627
2020-01-08,46.599998,46.700001,46.299999,46.549999,44.050354,265041
2020-01-09,46.599998,46.950001,46.349998,46.849998,44.334244,283508
2020-01-10,47.400002,47.900002,47.099998,47.549999,44.996655,651035
2020-01-13,47.900002,48.200001,47.750000,47.950001,45.375179,620920
2020-01-14,48.099998,48.099998,47.799999,48.049999,45.469807,388893
2020-01-15,48.200001,48.200001,47.950001,48.150002,45.564438,350644
2020-01-16,48.099998,48.599998,48.099998,48.400002,45.801014,457498
2020-01-17,48.400002,48.400002,47.950001,48.049999,45.469807,299506
2020-01-20,48.150002,48.400002,48.150002,48.400002,45.801014,302450
2020-01-30,46.500000,47.599998,46.450001,47.500000,44.949341,829284
2020-01-31,47.200001,49.299999,47.200001,48.700001,46.084904,992077
2020-02-03,48.250000,49.250000,47.400002,48.799999,46.179535,651792
2020-02-04,49.250000,50.200001,48.900002,50.200001,47.504356,1611724
2020-02-05,50.099998,50.099998,47.400002,47.500000,44.949341,1747254
2020-02-06,47.900002,48.250000,47.250000,47.450001,44.902027,674210
2020-02-07,47.549999,47.799999,47.200001,47.349998,44.807396,289633
2020-02-10,47.000000,47.250000,46.700001,46.900002,44.381561,342277
2020-02-11,46.700001,47.150002,46.599998,47.000000,44.476192,345256
2020-02-12,47.150002,47.200001,46.799999,46.900002,44.381561,431298
2020-02-13,47.000000,47.000000,46.700001,46.799999,44.286930,300297
2020-02-14,46.799999,46.799999,46.500000,46.549999,44.050354,346099
2020-02-17,46.549999,46.549999,46.000000,46.099998,43.624519,626360
2020-02-18,46.000000,46.000000,45.599998,45.849998,43.387943,391746
2020-02-19,45.700001,46.500000,45.700001,46.250000,43.766464,314877
2020-02-20,46.450001,46.450001,46.049999,46.049999,43.577202,281141
2020-02-21,46.049999,46.799999,46.049999,46.549999,44.050354,369122
2020-02-24,46.549999,47.000000,46.150002,46.500000,44.003040,474168
2020-02-25,46.000000,46.349998,45.900002,46.250000,43.766464,594816
2020-02-26,46.000000,46.599998,46.000000,46.250000,43.766464,286501
2020-02-27,46.250000,46.799999,46.200001,46.450001,43.955727,507266
2020-03-02,45.799999,46.349998,45.500000,45.500000,43.056740,656984
2020-03-03,45.700001,46.299999,45.700001,46.200001,43.719151,282075
2020-03-04,46.200001,46.650002,46.200001,46.549999,44.050354,268354
2020-03-05,47.000000,47.150002,46.799999,47.099998,44.570820,319892
2020-03-06,47.099998,47.099998,46.799999,47.049999,44.523506,385704
2020-03-09,46.799999,46.799999,45.700001,45.700001,43.245998,511710
2020-03-10,45.200001,45.200001,44.150002,44.700001,42.299698,1068022
2020-03-11,45.799999,46.400002,45.250000,45.849998,43.387943,759142
2020-03-12,45.750000,45.750000,43.349998,44.049999,41.684601,841753
2020-03-13,42.500000,42.500000,40.200001,41.950001,39.697369,1397301
2020-03-16,41.950001,42.000000,40.599998,40.599998,38.419857,744280
2020-03-17,39.049999,40.599998,39.049999,39.700001,37.568188,882528
2020-03-18,39.750000,40.599998,39.500000,40.000000,37.852077,900257
2020-03-19,40.000000,40.000000,38.500000,39.900002,37.757450,1318952
2020-03-20,41.000000,41.950001,38.500000,38.500000,36.432625,2678978
2020-03-23,38.099998,39.099998,38.099998,38.700001,36.621887,787353
2020-03-24,39.049999,39.849998,38.799999,39.200001,37.095036,564252
2020-03-25,39.950001,40.650002,39.549999,40.450001,38.277916,571581
2020-03-26,40.799999,41.299999,40.200001,41.000000,38.798378,433737
2020-03-27,41.799999,41.950001,40.900002,41.150002,38.940327,706809
2020-03-30,40.849998,41.950001,40.049999,41.500000,39.271530,444320
2020-03-31,41.700001,41.849998,41.000000,41.750000,39.508106,528892
2020-04-01,41.750000,41.900002,41.250000,41.450001,39.224216,423390
2020-04-06,41.450001,41.799999,40.799999,41.349998,39.129585,428733
2020-04-07,41.849998,42.500000,41.650002,42.450001,40.170517,564488
2020-04-08,43.250000,43.950001,42.599998,43.950001,41.589970,580960
2020-04-09,44.549999,44.700001,44.000000,44.299999,41.921177,439351
